Date,NH3,TSP,CO2,TVOC,PM10,PM2.5,W_force,W_speed,Tem,RH
2022-12-05 11:30:00,4.266666667,245,1186,355.3333333,65.33333333,50.33333333,0,0,16.97148112,73.96189372
2022-12-05 12:00:00,3.966666667,239.6666667,1232.666667,576.3333333,67,53,0,0,17.94746501,70.47729492
2022-12-05 12:30:00,2.2,105.6666667,966,145.3333333,55.33333333,46,0,0,18.47656982,63.62813314
2022-12-05 13:00:00,1.566666667,135,857,160.6666667,53,44,0,0,18.27994303,63.20444743
2022-12-05 13:30:00,2.933333333,290.6666667,985.6666667,808,62,47.33333333,0,0,18.63387126,65.22674561
2022-12-05 14:00:00,3.233333333,316,1006.666667,398,53.66666667,43.33333333,0,0,19.15582601,62.47762044
2022-12-05 14:30:00,2.7,296,945.6666667,283.3333333,51,41.66666667,0,0,18.7589974,62.94606527
2022-12-05 15:00:00,3.133333333,316,965,281.6666667,58.66666667,44.66666667,0,0,18.47299479,64.2868042
2022-12-05 15:30:00,3.866666667,443,962.6666667,280,55.66666667,45.33333333,0,0,18.20129232,65.87473551
2022-12-05 16:00:00,3.933333333,462.3333333,990.3333333,306.6666667,58.33333333,44.33333333,0,0,18.53734538,65.39764404
2022-12-05 16:30:00,4.2,592.6666667,1002.666667,316.3333333,58,43,0,0,18.69107178,65.64483643
2022-12-05 17:00:00,3.9,617,1026,378,59,46,0,0,18.61242106,66.65089925
2022-12-05 17:30:00,4.533333333,392.3333333,1192,2356.666667,62,48,0,0,18.42294434,68.50382487
2022-12-05 18:00:00,4.266666667,321,1156.333333,596.3333333,62.66666667,49,0,0,17.38260986,71.00982666
2022-12-05 18:30:00,5.133333333,271.3333333,1185.333333,491,64.33333333,50.66666667,0,0,16.79630452,72.02911377
2022-12-05 19:00:00,5.766666667,218.3333333,1172.333333,524.3333333,63.33333333,50,0,0,16.4638265,73.99393717
2022-12-05 19:30:00,7.1,376.3333333,1731,1050.333333,59.66666667,47.33333333,0,0,16.94288086,76.1235555
2022-12-05 20:00:00,6.8,295.3333333,1335.666667,341.3333333,56.33333333,46.66666667,0,0,16.54962728,73.63077799
2022-12-05 20:30:00,6.166666667,256.6666667,1195.666667,328.6666667,60.66666667,49.33333333,0,0,16.29222493,73.68520101
2022-12-05 21:00:00,5.733333333,254,1112,538,64.33333333,51.66666667,0,0,16.14207357,74.071757
2022-12-05 21:30:00,6.533333333,268,1131.666667,434,62.66666667,49,0,0,16.09917318,73.81286621
2022-12-05 22:00:00,6.466666667,220.3333333,1091.333333,328.3333333,67.66666667,51.33333333,0,0,15.78457031,73.82456462
2022-12-05 22:30:00,6,142,1085,304.3333333,63.33333333,50.33333333,0,0,15.67731934,75.61543783
